accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
24,0.039510383270680904,0.0016462659696117043,0.21791845560073853,2,2383,37,34,0,0.018959105014801025,3.5762786865234375e-07,1.1920928955078125e-07,0,0
25,0.041156649240292609,0.0016462659696117043,0.24487252533435822,2,2240,32,32,0,0.021399497985839844,3.5762786865234375e-07,1.1920928955078125e-07,0,0
26,0.042802915209904313,0.0016462659696117043,0.29239675402641296,2,2660,38,38,0,0.02413862943649292,3.5762786865234375e-07,1.1920928955078125e-07,0,0
27,0.044449181179516017,0.0016462659696117043,0.24377243220806122,2,2728,37,39,0,0.017848610877990723,3.5762786865234375e-07,1.1920928955078125e-07,0,0
28,0.046095447149127722,0.0016462659696117043,0.10161643475294113,2,7141,34,34,1,0.012045145034790039,3.5762786865234375e-07,1.1920928955078125e-07,0,0
29,0.047741713118739426,0.0016462659696117043,0.17758810520172119,2,2380,34,34,0,0.019038498401641846,3.5762786865234375e-07,1.1920928955078125e-07,0,0
30,0.04938797908835113,0.0016462659696117043,0.20054645836353302,2,2380,34,34,0,0.028099417686462402,3.5762786865234375e-07,1.1920928955078125e-07,0,0
31,0.051034245057962835,0.0016462659696117043,0.22031527757644653,2,2101,31,30,0,0.0190926194190979,3.5762786865234375e-07,1.1920928955078125e-07,0,0
32,0.052680511027574539,0.0016462659696117043,0.36499732732772827,2,2660,38,38,0,0.014575839042663574,3.5762786865234375e-07,1.1920928955078125e-07,0,0
33,0.054326776997186244,0.0016462659696117043,0.35224989056587219,2,2380,34,34,0,0.03346705436706543,3.5762786865234375e-07,1.1920928955078125e-07,0,0
34,0.055973042966797948,0.0016462659696117043,0.43612381815910339,2,2380,34,34,0,0.048037052154541016,3.5762786865234375e-07,1.1920928955078125e-07,0,0
35,0.057619308936409652,0.0016462659696117043,0.32498708367347717,2,2380,34,34,0,0.038422107696533203,4.76837158203125e-07,1.1920928955078125e-07,0,0
36,0.059265574906021357,0.0016462659696117043,0.25959587097167969,2,7141,34,34,1,0.01277315616607666,4.76837158203125e-07,1.1920928955078125e-07,0,0
37,0.060911840875633061,0.0016462659696117043,0.26711732149124146,2,2380,34,34,0,0.026830077171325684,4.76837158203125e-07,1.1920928955078125e-07,0,0
38,0.062558106845244765,0.0016462659696117043,0.47041225433349609,2,2380,34,34,0,0.047461211681365967,4.76837158203125e-07,1.1920928955078125e-07,0,0
39,0.06420437281485647,0.0016462659696117043,0.47753489017486572,2,2380,34,34,0,0.04513174295425415,4.76837158203125e-07,1.1920928955078125e-07,0,0
40,0.065850638784468174,0.0016462659696117043,0.30997034907341003,2,2380,34,34,0,0.02303314208984375,4.76837158203125e-07,1.1920928955078125e-07,0,0
