beginning_time_s,dt_s,x,y,z_face,beginning_momentum,stress_rate,buoyancy_rate,advection_rate,source_rate,pressure_gradient_rate,total_rate,closure_residual,nonpressure_split_residual,accepted_scalar_face_alpha
2.1079791976176079,0.0014283567883043276,38,42,14,0.83142450228250564,0.51174166862168791,1.7306660281560364,-16.545621858961685,0,6.1904866089927557,-8.1127275531912026,8.8817841970012523e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,15,1.1267169644088915,-0.29661392783241636,2.1918845714174982,-24.402748051833399,0,17.487942007440591,-5.019535400807726,1.1546319456101628e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,16,1.3102560526002891,-0.31037354131040806,2.9658935209568158,-13.055403035261937,0,4.5484778928054945,-5.8514051628100345,-5.2402526762307389e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,17,1.2657659317116745,-0.59188883243826007,4.2241188534030361,14.819537847258783,0,-6.666648150043974,11.785119718179585,-8.8817841970012523e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,18,1.1241051056639919,-0.41912207886120134,4.8316827773781288,29.930611073112257,0,-6.6347596333867518,27.708412138242437,7.1054273576010019e-15,0,1
2.1079791976176079,0.0014283567883043276,38,42,19,0.50517157832246695,0.89473444328359353,4.8562827558567108,4.728461963580135,0,0.37418275563659759,10.853661918357037,0,0,1
2.1079791976176079,0.0014283567883043276,38,42,20,0.77916957953789723,0.094944877298917874,4.0297314821736228,-12.150944279554935,0,-5.0422466476451664,-13.06851456772756,-1.9539925233402755e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,21,0.37757727899534527,2.2858479399730003,3.2126257757466981,-3.8972807775577194,0,16.255203468769992,17.856396406931971,-1.7763568394002505e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,22,0.49020957614263905,1.1484508140362917,4.3470498188162097,-16.862052021738759,0,-8.9430334784923406,-20.309584867378597,-1.0658141036401503e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,23,1.0089139539281313,-0.38144612349985296,5.9106672468971411,-9.2651602085271172,0,-7.2415452789988413,-10.977484364128671,-2.4868995751603507e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,24,0.88684155987471114,0.052661675742122327,6.8361402263079789,-10.417672918614921,0,-11.702096876554172,-15.230967893118992,-1.7763568394002505e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,25,0.89096858760645981,0.2252466067561909,6.8618934670481879,-16.567636892088817,0,2.1956003696592066,-7.284896448625231,2.6645352591003757e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,26,0.54595797520463674,0.99706844506932635,6.1233788631473161,-18.555488964560993,0,10.941172209909544,-0.49386944643480746,8.992806499463768e-15,8.8817841970012523e-16,1
2.1079791976176079,0.0014283567883043276,38,42,27,0.42241699110834952,2.4872797832705191,5.8082691101938995,-37.609254020054372,0,-14.046183422009317,-43.359888548599272,2.1316282072803006e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,28,1.3002421801912833,0.66308072786274685,6.3343761331944775,-71.441933782474706,0,-8.572428914791514,-73.016905836208991,-5.6843418860808015e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,29,1.7077934460249238,-2.6205808071044299,6.8955107015134578,-10.698502817602922,0,-0.10977737234242556,-6.5333502955363194,5.9507954119908391e-14,0,1
2.1079791976176079,0.0014283567883043276,38,42,30,1.5203194855960607,-1.3530347119572417,7.0104436774828702,10.668169872571033,0,-7.2130675084062359,9.1125113296904239,-7.1054273576010019e-15,-8.8817841970012523e-16,1
