sample,time_s,lit_pixels
190,22.406864279004367,82
191,22.469364279004367,82
192,22.531864279004367,91
193,22.594364279004367,89
194,22.656864279004367,86
195,22.719364279004367,87
196,22.781864279004367,96
197,22.844364279004367,97
198,22.906864279004367,97
199,22.969364279004367,98
200,23.031864279004367,92
201,23.094364279004367,92
202,23.156864279004367,92
203,23.219364279004367,102
204,23.281864279004367,100
205,23.344364279004367,98
206,23.406864279004367,97
207,23.469364279004367,104
208,23.531864279004367,96
209,23.594364279004367,101
210,23.656864279004367,111
211,23.719364279004367,111
212,23.781864279004367,118
213,23.844364279004367,114
214,23.906864279004367,109
215,23.969364279004367,108
216,24.031864279004367,96
217,24.094364279004367,109
218,24.156864279004367,119
219,24.219364279004367,116
220,24.281864279004367,122
221,24.344364279004367,123
222,24.406864279004367,121
223,24.469364279004367,126
224,24.531864279004367,131
225,24.594364279004367,132
226,24.656864279004367,137
227,24.719364279004367,140
228,24.781864279004367,142
229,24.844364279004367,145
230,24.906864279004367,149
231,24.969364279004367,143
232,25.031864279004367,140
233,25.094364279004367,142
234,25.156864279004367,148
