frame,time_s,lit_pixels,display_sha256
133,18.844364278975263,64,898c683d21eb79f9d11e945a66e1431b98dbd0d9d71c789cb9e7aa87c621ef3e
134,18.906864278975263,48,6865b0fefe2b3581446ecb1580579e21879fb363a0b1ab6b353453d0e3253b0d
135,18.969364278975263,31,c21ed596b540380b2dba2dd8a3384d6214c3543bf830a7fd30940a9c8b3645af
136,19.031864278975263,26,5dd5f89d074004326cb32e43ab77bd7c1cc87789f2d8f0481ce86db5a6db7b9d
137,19.094364278975263,17,af66d639f40b5d6b0d65320ddbc6d467f37d832528136f717b61e81ce34951dc
138,19.156864278975263,28,c3c6b99705891bfb4e762077c0774e456d6f5a0918fc6bd36f2ba4b2e0226f66
139,19.219364278975263,21,69f8e5afc3a05c7f2b76fe00be889b29d8689cfc5efa94ef913a79b40dbc9e2b
140,19.281864278975263,26,5550a2db0a29b23cf71f3d102323706c2a4f636817aff2ddb73de18dc4750316
141,19.344364278975263,27,87d07ae2f197113d7129842510b38238448a18153de2ce4d643fe27478fe8002
142,19.406864278975263,25,d4e746dba02d779cb4790880cf72ac5b6a934297604b093947bbe2717aec9d5f
143,19.469364278975263,34,b113dac49b0c2918c031d7ec6795bb8eeb65b60337b1ac1c5ab9237e37c8f13a
144,19.531864278975263,39,892ec1a835bf6e4f7a1218f54e14a63424af2ffd29e5a3d1624b084b1eae3787
145,19.594364278975263,41,e17a8660d8672a3d4e637ea2d6371a0487c18fe64ab9f08619ba34d6d2bdcf0d
146,19.656864278975263,46,8e0bd63147d6ae19bb060ab6ab724a46d2cbc88e94c09ed9022339d5ba8e1ade
147,19.719364278975263,55,b49f7a51a1ff8ce23f6c7b922342360da6eab7151f4b18d5d4ef321c981f2dc3
148,19.781864278975263,56,de4e88ad4c1fa084a20e07de4395d292cd9bdedf8a6eb9618ecaa9f1dad94350
149,19.844364278975263,60,d709003223b2364265eeeff87c1e5fefc99fc4d8a4363110232f35a47b8d6d33
150,19.906864278975263,75,48bca9111feea04df3615123f9a95bd98fb3d4d18a410a200da7fb005d89aaa9
151,19.969364278975263,73,1e5633c95b071650f010e92031132a43f79fc0cf5c21e2de7c465262ae0cc1ed
152,20.031864278975263,72,c59b2301cf578be7fdcea3be8592433d87f2f83bdd5cf582d34cf133e1cb8fb2
153,20.094364278975263,80,6ae0fd079ebf8acf37f3d803989f0fca9b7a1b028e8376c4eb9470e5bc23d8cb
154,20.156864278975263,76,2ba5e274df347ab811311af837a443b5e483e92cae45294736599875eda204c1
155,20.219364278975263,63,b7b2548014fab29a318041cf7fd8eeab29d3cc558b7d8957d3e05a342d7e5007
156,20.281864278975263,70,5591776c3075de201f2b5037e1bf358db39b615729324dcedb8bf1b5e64d8ed5
157,20.344364278975263,70,af94c53d559999080ec63cc388e35381280ae98fa3650da6ec3c582fdccb863d
158,20.406864278975263,73,62671e0aefa9e0a72034d7de69774236b35037893a986706e8c85a744d1f2311
159,20.469364278975263,80,bb10889af55e00c7fb7bd80e376387306cfe722c18a5a57e288b5a2ad887710b
160,20.531864278975263,80,d43a1710c4d736bee2e5276de25acb477674a5d475bbb54822acf7b600d741e4
161,20.594364278975263,59,68299869fa4713bf4e0142febf6c92d92a654a9cb5ce8a804f6892ff68c43ff4
162,20.656864278975263,54,84befd96473badeb117ad297614709a5c4d5b5f546f208d798c42112aae7e04a
163,20.719364278975263,60,0ce8135ba529cf758cd9e39091653d62950796477fff02a85dca1d6baa8a95fb
164,20.781864278975263,63,8024e3c3df3e1c5e9181472a283dd2510503168e131a2f099f3b2181ee8f814e
165,20.844364278975263,52,00bd069c669dcf09a7edab137bcc34ba1d6ef3ded1af4af54ebcc08159d9d3d6
166,20.906864278975263,55,2cf3641b575ab69342237df14fcaeda15bf5b793561dd91eb8c03ba13b41c0ec
167,20.969364278975263,51,7bc7f271f2ca4a528c4cbcb5aeaa1425ed3633af626c3f47e8b833b727778a4c
168,21.031864278975263,46,ebe74d44463ede5bd5a51db5e3878034c76ac553515abbc784e48020e26ddd3a
169,21.094364278975263,52,dacfa12f584a175197d34000ed14a690b3cbaf391da5d1b9de432cc4cffd2dad
