sample,time_s,centerline_heat_release_W
406,11.082132611096313,0
407,11.083778877065924,0
408,11.085425143035536,0
409,11.087071409005148,0
410,11.08871767497476,0
411,11.090363940944371,0
412,11.092010206913983,0
413,11.093656472883595,0
414,11.094364278913417,0
415,11.095142865575326,0
416,11.095999310920888,0
417,11.096941400806827,0
418,11.097977699733747,0
419,11.099117628553358,0
420,11.100371550208365,0
421,11.10175086408708,0
422,11.103268109400233,0
423,11.104914375369844,0
424,11.106560641339456,0
425,11.108206907309068,0
426,11.10985317327868,0
427,11.111499439248291,0
428,11.113145705217903,0
429,11.114791971187515,0
430,11.116438237157126,0
431,11.118084503126738,0
432,11.11973076909635,0
433,11.121377035065962,0
434,11.123023301035573,0
435,11.124669567005185,0
436,11.126315832974797,0
437,11.127962098944408,0
438,11.12960836491402,0
439,11.131254630883632,0
440,11.132900896853243,0
441,11.134547162822855,0
442,11.136193428792467,0
443,11.137839694762079,0
444,11.13948596073169,0
445,11.141132226701302,0
446,11.142778492670914,0
447,11.144424758640525,0
448,11.146071024610137,0
449,11.147717290579749,0
450,11.149363556549361,0
451,11.151009822518972,0
452,11.152656088488584,0
453,11.154302354458196,0
454,11.155948620427807,0
455,11.156864278913417,0
456,11.157871503230126,0
457,11.158979449966864,0
458,11.160198191377276,0
459,11.161538806940371,0
460,11.163013484059775,0
461,11.164635628891119,0
462,11.166281894860731,0
463,11.167928160830343,0
464,11.169574426799954,0
465,11.171220692769566,0
466,11.172866958739178,0
467,11.174513224708789,0
468,11.176159490678401,0
469,11.177805756648013,0
470,11.179452022617625,0
471,11.181098288587236,0
472,11.182744554556848,0
473,11.18439082052646,0
474,11.186037086496071,0
475,11.187683352465683,0
476,11.189329618435295,0
477,11.190975884404907,0
478,11.192622150374518,0
479,11.19426841634413,0
480,11.195914682313742,0
481,11.197560948283353,0
482,11.199207214252965,0
483,11.200853480222577,0
484,11.202499746192188,0
485,11.2041460121618,0
486,11.205792278131412,0
487,11.207438544101024,0
488,11.209084810070635,0
489,11.210731076040247,0
490,11.212377342009859,0
491,11.21402360797947,0
492,11.215669873949082,0
493,11.217316139918694,0
494,11.218962405888306,0
495,11.219364278913417,0
496,11.21980633923522,0
497,11.220292605597933,0
498,11.22082749861147,0
499,11.221415880914719,0
500,11.222063101442473,0
501,11.222775043999718,0
502,11.223558180812688,0
503,11.224419631318597,0
504,11.225367226892558,0
505,11.22640958197735,0
506,11.227556172547338,0
507,11.228817422197608,0
508,11.230204796789621,0
509,11.231730908875761,0
510,11.233377174845373,0
511,11.235023440814984,0
512,11.236669706784596,0
513,11.238315972754208,0
514,11.23996223872382,0
515,11.241608504693431,0
516,11.243254770663043,0
517,11.244901036632655,0
518,11.246547302602266,0
519,11.248193568571878,0
520,11.24983983454149,0
521,11.251486100511102,0
522,11.253132366480713,0
523,11.254778632450325,0
524,11.256424898419937,0
525,11.258071164389548,0
526,11.25971743035916,0
527,11.261363696328772,0
528,11.263009962298383,0
529,11.264656228267995,0
530,11.266302494237607,0
531,11.267948760207219,0
532,11.26959502617683,0
533,11.271241292146442,0
534,11.272887558116054,0
535,11.274533824085665,0
536,11.276180090055277,0
537,11.277826356024889,0
538,11.279472621994501,0
539,11.281118887964112,0
540,11.281864278913417,0
541,11.282684208963474,0
542,11.283586132012715,0
543,11.284578247366881,0
544,11.285669574303029,0
545,11.286870033967716,0
546,11.288190539598872,0
547,11.289643095828069,0
548,11.29124090764526,0
549,11.292887173614872,0
550,11.294533439584484,0
551,11.296179705554096,0
552,11.297825971523707,0
553,11.299472237493319,0
554,11.301118503462931,0
555,11.302764769432542,0
556,11.304411035402154,0
557,11.306057301371766,0
558,11.307703567341377,0
559,11.309349833310989,0
560,11.310996099280601,0
561,11.312642365250213,0
562,11.314288631219824,0
563,11.315934897189436,0
564,11.317581163159048,0
565,11.319227429128659,0
566,11.320873695098271,0
567,11.322519961067883,0
568,11.324166227037495,0
569,11.325812493007106,0
570,11.327458758976718,0
571,11.32910502494633,0
572,11.330751290915941,0
573,11.332397556885553,0
574,11.334043822855165,0
575,11.335690088824776,0
576,11.337336354794388,0
577,11.338982620764,0
578,11.340628886733612,0
579,11.342275152703223,0
580,11.343921418672835,0
581,11.344364278913417,0
582,11.344851425172237,0
583,11.34538728606276,0
584,11.345976733042335,0
585,11.346625124708225,0
586,11.347338355517422,0
587,11.348122909395897,0
588,11.348985918644757,0
589,11.349935228841787,0
590,11.350979470087623,0
591,11.352128135411476,0
592,11.353391667267715,0
593,11.354781552356144,0
594,11.356310425930133,0
595,11.357956691899744,0
596,11.359602957869356,0
597,11.361249223838968,0
598,11.362895489808579,0
599,11.364541755778191,0
600,11.366188021747803,0
601,11.367834287717415,0
602,11.369480553687026,0
603,11.371126819656638,0
604,11.37277308562625,0
605,11.374419351595861,0
606,11.376065617565473,0
607,11.377711883535085,0
608,11.379358149504696,0
609,11.381004415474308,0
610,11.38265068144392,0
