# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
500.0 700.0 3.21145981648563986e-20 8.68859875705582283e-25 2.88897770899734519e-23 -1.56267518629689571e-27
500.0 750.0 3.32510172686401995e-20 7.85710991977540393e-25 1.68200221815094251e-23 -1.73466369115952030e-27
500.0 800.0 3.38251421597336648e-20 6.97763138659635226e-25 6.44990901640920162e-24 -1.76409056481454054e-27
500.0 850.0 3.39269718640909585e-20 6.10827805689873904e-25 -2.06969417368916394e-24 -1.70153425063281648e-27
500.0 900.0 3.36478230926017185e-20 5.28503184869744401e-25 -8.81387144224321861e-24 -1.58499060899209308e-27
500.0 950.0 3.30720628046266908e-20 4.52778147779949170e-25 -1.39706738776473215e-23 -1.44118529880853203e-27
500.0 1000.0 3.22733641740509597e-20 3.84538864086452940e-25 -1.77709834442321757e-23 -1.28790940463640526e-27
500.0 1050.0 3.13136687138552513e-20 3.23955846199200364e-25 -2.04483922415939416e-23 -1.13636290807882390e-27
500.0 1100.0 3.02436315605779320e-20 2.70762457505050290e-25 -2.22184802029776529e-23 -9.93121137353074337e-28
500.0 1150.0 2.91037826041305932e-20 2.24446570316542521e-25 -2.32698672403625588e-23 -8.61643014282641385e-28
500.0 1200.0 2.79259504210598681e-20 1.84377459180516286e-25 -2.37619840947215433e-23 -7.43365764525333730e-28
500.0 1250.0 2.67346988438950163e-20 1.49886581370860700e-25 -2.38263898201821254e-23 -6.38469298042118073e-28
500.0 1300.0 2.55486505504323287e-20 1.20316632822347440e-25 -2.35697364786106051e-23 -5.46393810070575508e-28
500.0 1350.0 2.43816450551724016e-20 9.50493989212512634e-26 -2.30772972529896137e-23 -4.66180713298266156e-28
500.0 1400.0 2.32437190689657631e-20 7.35198189938544181e-26 -2.24164764166253553e-23 -3.96690861934204440e-28
500.0 1450.0 2.21419181448402228e-20 5.52213583721636679e-26 -2.16400179208591524e-23 -3.36739549415806531e-28
500.0 1500.0 2.10809580160770429e-20 3.97061090190742048e-26 -2.07887998482565935e-23 -2.85176223690829459e-28
500.0 1550.0 2.00637571061092424e-20 2.65818695488323509e-26 -1.98941946815362948e-23 -2.40928231926598819e-28
500.0 1600.0 1.90918613812626411e-20 1.55076540831688224e-26 -1.89800220462796084e-23 -2.03021694110150785e-28
500.0 1650.0 1.81657807950853987e-20 6.18853993011795576e-27 -1.80641409411587517e-23 -1.70588249294822889e-28
500.0 1700.0 1.72852540327845636e-20 -1.62959343955620635e-27 -1.71597343341197517e-23 -1.42863421584654857e-28
500.0 1750.0 1.64494556399418695e-20 -8.16511487266283599e-27 -1.62763373754663145e-23 -1.19180321539653182e-28
500.0 1800.0 1.56571571757912162e-20 -1.36053117095422437e-26 -1.54206553816194499e-23 -9.89610388068554682e-29
500.0 1850.0 1.49068518798897757e-20 -1.81106036256873987e-26 -1.45972114101910692e-23 -8.17071820856591103e-29
500.0 1900.0 1.41968505110219791e-20 -2.18182811580740244e-26 -1.38088568566926139e-23 -6.69904344927972830e-29
500.0 1950.0 1.35253544954022990e-20 -2.48457831578551201e-26 -1.30571726261763635e-23 -5.44436133423821163e-29
500.0 2000.0 1.28905112752047380e-20 -2.72935453922751528e-26 -1.23427832989948034e-23 -4.37524831856681133e-29
500.0 2050.0 1.22904557393622786e-20 -2.92474609376379128e-26 -1.16656023654096216e-23 -3.46484222296036195e-29
500.0 2100.0 1.17233408077528308e-20 -3.07809955855233273e-26 -1.10250230041931199e-23 -2.69019531380453088e-29
500.0 2150.0 1.11873595921834898e-20 -3.19570006405683446e-26 -1.04200659409736192e-23 -2.03170984866681988e-29
500.0 2200.0 1.06807610423396019e-20 -3.28292627619542127e-26 -9.84949354629197138e-24 -1.47264947492818685e-29
500.0 2250.0 1.02018605762779693e-20 -3.34438268647271407e-26 -9.31189742724877930e-24 -9.98718740784298733e-30
500.0 2300.0 9.74904687183652821e-21 -3.38401241429968297e-26 -8.80576524552703558e-24 -5.97702759341422450e-30
500.0 2350.0 9.32078574007125642e-21 -3.40519333580220881e-26 -8.32953128541146989e-24 -2.59159370898576679e-30
500.0 2400.0 8.91562180055422541e-21 -3.41081998440675537e-26 -7.88161433694269130e-24 2.58432701506997957e-31
500.0 2450.0 8.53217851980310695e-21 -3.40337333219598619e-26 -7.46044570109692402e-24 2.64950051831868293e-30
500.0 2500.0 8.16915704933113522e-21 -3.38498026100618710e-26 -7.06448952490248164e-24 4.64708835667088334e-30
550.0 300.0 1.07932550372181131e-20 1.78468520751245534e-25 1.40236081829465675e-23 4.57307933282873906e-27
550.0 350.0 1.20251485069196290e-20 4.20796523033490855e-25 3.64843512704109786e-23 4.93312862355189463e-27
550.0 400.0 1.44301909612686227e-20 6.54169242793156729e-25 5.86014847732283449e-23 4.25318815530059257e-27
550.0 450.0 1.77226474659372674e-20 8.35432201786102036e-25 7.12282053451794150e-23 2.93430010724886739e-27
550.0 500.0 2.13709482515532661e-20 9.45205050858828335e-25 7.30532369134711502e-23 1.46556573149084508e-27
