# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
400.0 2150.0 2.24771231958041248e-21 2.53631648461561221e-25 -1.67957964262725050e-24 -3.65875463659096690e-28
400.0 2200.0 2.16559937372094821e-21 2.36149230783899911e-25 -1.60554416460776963e-24 -3.34006849260875324e-28
400.0 2250.0 2.08709875351308679e-21 2.20176024271285655e-25 -1.53505795208095639e-24 -3.05436657570508252e-28
400.0 2300.0 2.01203722596252161e-21 2.05557169485279591e-25 -1.46795314620423531e-24 -2.79771951174985777e-28
400.0 2350.0 1.94024975609226743e-21 1.92156098686727482e-25 -1.40406953804442105e-24 -2.56672564119565956e-28
400.0 2400.0 1.87157914393205307e-21 1.79852100186233787e-25 -1.34325383694563550e-24 -2.35843223065259388e-28
400.0 2450.0 1.80587569178159049e-21 1.68538243178325364e-25 -1.28535917518944376e-24 -2.17026963592419521e-28
400.0 2500.0 1.74299689208295908e-21 1.58119604334196841e-25 -1.23024476770608986e-24 -1.99999608877940446e-28
450.0 300.0 2.66107891863228694e-20 3.00865877894831261e-23 -1.57101357089533854e-22 -1.35998639958520290e-25
450.0 350.0 2.04845229884322266e-20 2.38479890796418660e-23 -9.42797613034143576e-23 -1.12320996222493887e-25
450.0 400.0 1.67112604720037591e-20 1.88618002139228828e-23 -6.00695290918415801e-23 -8.76697954436865337e-26
450.0 450.0 1.42269360981629882e-20 1.50066768459468984e-23 -4.10964290401992144e-23 -6.73456965314206853e-26
450.0 500.0 1.24708718903379241e-20 1.20493650217248836e-23 -3.00806783030935795e-23 -5.16652785072061404e-26
450.0 550.0 1.11502563141979739e-20 9.77592685066413623e-24 -2.32412274327888584e-23 -3.98372087875180867e-26
450.0 600.0 1.01094748203846058e-20 8.01638594365194594e-24 -1.86683081534118285e-23 -3.09699827080408323e-26
450.0 650.0 9.26185369762764741e-21 6.64218846436032968e-24 -1.54043932932073468e-23 -2.43130629711225024e-26
450.0 700.0 8.55549158908195343e-21 5.55796608772012961e-24 -1.29601774964632344e-23 -1.92879267720559947e-26
450.0 750.0 7.95662031026576176e-21 4.69343118926779677e-24 -1.10723150124847969e-23 -1.54644975743241315e-26
