accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
26,0.042802915209904313,0.0016462659696117043,0.29360225796699524,2,3315,47,38,0,0.013881683349609375,3.5762786865234375e-07,1.1920928955078125e-07,0,0
27,0.044449181179516017,0.0016462659696117043,0.24661573767662048,2,3139,43,36,0,0.019677579402923584,3.5762786865234375e-07,1.1920928955078125e-07,0,0
28,0.046095447149127722,0.0016462659696117043,0.19897277653217316,2,3571,45,41,0,0.019208312034606934,3.5762786865234375e-07,1.1920928955078125e-07,0,0
29,0.047741713118739426,0.0016462659696117043,0.18000632524490356,2,3566,40,41,0,0.017184972763061523,3.5762786865234375e-07,1.1920928955078125e-07,0,0
30,0.04938797908835113,0.0016462659696117043,0.12462998926639557,2,4087,45,47,0,0.014199256896972656,3.5762786865234375e-07,1.1920928955078125e-07,0,0
31,0.051034245057962835,0.0016462659696117043,0.12647596001625061,2,3741,43,43,0,0.013801693916320801,3.5762786865234375e-07,1.1920928955078125e-07,0,0
32,0.052680511027574539,0.0016462659696117043,0.20810148119926453,2,3654,42,42,0,0.024390041828155518,3.5762786865234375e-07,1.1920928955078125e-07,0,0
33,0.054326776997186244,0.0016462659696117043,0.19985580444335938,2,3655,43,42,0,0.027038455009460449,3.5762786865234375e-07,1.1920928955078125e-07,0,0
34,0.055973042966797948,0.0016462659696117043,0.11247599124908447,2,3486,46,40,0,0.017934560775756836,3.5762786865234375e-07,1.1920928955078125e-07,0,0
35,0.057619308936409652,0.0016462659696117043,0.16728213429450989,1,4256,42,49,0,0.017480611801147461,3.5762786865234375e-07,1.1920928955078125e-07,0,0
36,0.059265574906021357,0.0016462659696117043,0.25688627362251282,2,3654,42,42,0,0.029082059860229492,3.5762786865234375e-07,1.1920928955078125e-07,0,0
37,0.060911840875633061,0.0016462659696117043,0.34483429789543152,2,3740,42,43,0,0.040694355964660645,3.5762786865234375e-07,1.1920928955078125e-07,0,0
38,0.062558106845244765,0.0016462659696117043,0.30993464589118958,2,3654,42,42,0,0.035522341728210449,4.76837158203125e-07,1.1920928955078125e-07,0,0
39,0.06420437281485647,0.0016462659696117043,0.24837952852249146,2,3315,47,38,0,0.016102313995361328,4.76837158203125e-07,1.1920928955078125e-07,0,0
40,0.065850638784468174,0.0016462659696117043,0.14113320410251617,0,3691,37,42,0,0.019121110439300537,4.76837158203125e-07,1.1920928955078125e-07,0,0
