accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
31,0.051034245057962835,0.0016462659696117043,0.38030579686164856,2,1532,24,29,0,0.026018261909484863,4.76837158203125e-07,1.1920928955078125e-07,0,0
32,0.052680511027574539,0.0016462659696117043,0.46388491988182068,2,1532,24,29,0,0.026342153549194336,4.76837158203125e-07,1.1920928955078125e-07,0,0
33,0.054326776997186244,0.0016462659696117043,0.3758297860622406,2,1426,22,27,0,0.011270046234130859,4.76837158203125e-07,1.1920928955078125e-07,0,0
34,0.055973042966797948,0.0016462659696117043,0.22982265055179596,2,1325,25,25,0,0.01260608434677124,4.76837158203125e-07,1.1920928955078125e-07,0,0
35,0.057619308936409652,0.0016462659696117043,0.45214876532554626,2,1325,25,25,0,0.031882226467132568,4.76837158203125e-07,1.1920928955078125e-07,0,0
36,0.059265574906021357,0.0016462659696117043,0.49530982971191406,2,1325,25,25,0,0.037042021751403809,4.76837158203125e-07,1.1920928955078125e-07,0,0
37,0.060911840875633061,0.0016462659696117043,0.33548963069915771,2,1377,25,26,0,0.024668276309967041,4.76837158203125e-07,1.1920928955078125e-07,0,0
38,0.062558106845244765,0.0016462659696117043,0.39631548523902893,2,1116,24,21,0,0.011048674583435059,4.76837158203125e-07,1.1920928955078125e-07,0,0
39,0.06420437281485647,0.0016462659696117043,0.32639569044113159,2,1116,24,21,0,0.022666454315185547,4.76837158203125e-07,1.1920928955078125e-07,0,0
40,0.065850638784468174,0.0016462659696117043,0.41495597362518311,2,1326,26,25,0,0.033900022506713867,4.76837158203125e-07,1.1920928955078125e-07,0,0
